id,area_px,bbox,predicted_iou,stability_score,label
1,49061,"[147, 397, 296, 282]",1.0142756700515747,0.98042893409729,
2,40220,"[0, 520, 292, 310]",1.002583384513855,0.9866149425506592,
3,18870,"[74, 0, 111, 189]",1.0015627145767212,0.989148736000061,
4,75639,"[1323, 0, 276, 412]",1.0009188652038574,0.9782512187957764,
5,163006,"[1050, 303, 549, 592]",0.9977068901062012,0.9833303093910217,
6,3691,"[331, 35, 90, 93]",0.9887638092041016,0.9833467602729797,
7,12281,"[625, 297, 135, 137]",0.9868600368499756,0.9755548238754272,
8,814,"[546, 179, 30, 31]",0.9861865043640137,0.9889705777168274,
9,29634,"[240, 0, 180, 191]",0.9856759905815125,0.9791520237922668,
10,6669,"[0, 792, 109, 107]",0.9822353720664978,0.9852700233459473,
11,12984,"[1208, 0, 86, 206]",0.9821081161499023,0.9784545302391052,
12,9273,"[782, 331, 89, 129]",0.9816456437110901,0.9873499274253845,
13,651,"[728, 295, 28, 27]",0.9815435409545898,0.9908536672592163,
14,6227,"[328, 607, 144, 60]",0.9803938269615173,0.9833042025566101,
15,21613,"[1023, 439, 246, 199]",0.9784281253814697,0.9771282076835632,
16,15961,"[625, 297, 134, 206]",0.9783039093017578,0.973790168762207,
17,20034,"[1071, 315, 129, 263]",0.9765871167182922,0.9774981737136841,
18,16365,"[294, 266, 186, 141]",0.9762094616889954,0.9867613911628723,
19,501,"[930, 293, 25, 23]",0.9755894541740417,0.9842209219932556,
20,13314,"[242, 204, 177, 115]",0.9752317070960999,0.9825737476348877,
21,15540,"[420, 0, 53, 435]",0.9745901823043823,0.9608882069587708,
22,16042,"[1023, 216, 138, 229]",0.9742733240127563,0.9761302471160889,
23,9259,"[489, 676, 132, 93]",0.9725692272186279,0.9750453233718872,
24,5250,"[1519, 414, 80, 126]",0.9712899327278137,0.978458046913147,
25,13348,"[65, 203, 122, 211]",0.9710967540740967,0.9708394408226013,
26,4280,"[438, 529, 58, 97]",0.9708580374717712,0.9851508140563965,
27,6906,"[1226, 351, 81, 138]",0.9682102203369141,0.9778191447257996,
28,3111,"[519, 619, 58, 58]",0.9680179357528687,0.9793322682380676,
29,17031,"[1050, 280, 202, 238]",0.9673604965209961,0.9542089700698853,
30,23081,"[414, 440, 332, 209]",0.9657533168792725,0.9590588808059692,
31,8790,"[969, 722, 245, 48]",0.9640631675720215,0.9721195697784424,
32,4914,"[1043, 523, 60, 111]",0.9636921286582947,0.979645311832428,
33,13049,"[882, 0, 94, 197]",0.9629247784614563,0.9639652967453003,
34,2777,"[641, 712, 63, 54]",0.9577518701553345,0.9684509038925171,
35,417,"[1130, 176, 21, 22]",0.9575120210647583,0.9739336371421814,
36,17009,"[829, 213, 146, 184]",0.9569621682167053,0.9652629494667053,
37,11797,"[1296, 366, 119, 159]",0.9566826224327087,0.9634551405906677,
38,2441,"[642, 573, 24, 104]",0.9560297131538391,0.974979817867279,
39,15396,"[174, 225, 117, 222]",0.9537605047225952,0.9555837512016296,
40,10711,"[247, 759, 232, 62]",0.9520052671432495,0.9678485989570618,
41,936,"[424, 729, 35, 32]",0.9509993195533752,0.9735729098320007,
42,2915,"[808, 719, 63, 59]",0.9503049254417419,0.9705783128738403,
43,2011,"[742, 506, 31, 116]",0.9492274522781372,0.966829240322113,
44,535,"[951, 70, 24, 25]",0.9480290412902832,0.9851852059364319,
45,45405,"[701, 289, 273, 316]",0.9476823806762695,0.9720281362533569,
46,32412,"[64, 0, 122, 413]",0.9462891817092896,0.9668516516685486,
47,5688,"[913, 335, 67, 121]",0.9411690831184387,0.9682046175003052,
48,5981,"[809, 645, 62, 133]",0.9388463497161865,0.9653587341308594,
49,43982,"[238, 0, 184, 319]",0.9378708600997925,0.953895628452301,
50,2505,"[616, 680, 64, 69]",0.9370449781417847,0.9669811129570007,
51,2143,"[534, 514, 53, 81]",0.9358590245246887,0.9718893766403198,
52,543,"[1245, 170, 23, 30]",0.9309589862823486,0.9817184805870056,
53,2738,"[132, 414, 56, 98]",0.9297229051589966,0.9500535130500793,
54,8747,"[791, 487, 66, 156]",0.9270517826080322,0.9561521410942078,
55,11695,"[28, 0, 65, 263]",0.9265886545181274,0.9690027236938477,
56,1808,"[841, 513, 16, 121]",0.9254520535469055,0.9675148725509644,
57,6076,"[916, 455, 61, 149]",0.9238426089286804,0.9586217999458313,
58,6643,"[1072, 674, 195, 43]",0.914893388748169,0.9754000902175903,
59,17514,"[1049, 367, 365, 382]",0.9135361909866333,0.9523809552192688,
60,29738,"[1371, 670, 228, 227]",0.9115175604820251,0.9763092994689941,
61,9814,"[415, 440, 105, 208]",0.9090732932090759,0.9524756669998169,
62,15314,"[58, 803, 369, 95]",0.9079390168190002,0.9521656036376953,
63,625,"[436, 701, 28, 28]",0.9002633094787598,0.9718309640884399,
64,82845,"[149, 267, 331, 409]",1.0016096830368042,0.9803194999694824,
65,99141,"[1146, 506, 453, 391]",1.0005149841308594,0.9844184517860413,
66,134886,"[47, 678, 1286, 218]",1.000022292137146,0.9677546620368958,
67,20877,"[0, 0, 93, 269]",0.9943127632141113,0.9857600331306458,
68,39279,"[0, 264, 167, 416]",0.9921663999557495,0.9777180552482605,
69,61676,"[472, 0, 301, 436]",0.9912469387054443,0.9519027471542358,
70,46344,"[1294, 303, 305, 401]",0.986670970916748,0.9607880711555481,
71,59460,"[506, 0, 444, 256]",0.9861608743667603,0.952235221862793,
72,13243,"[513, 328, 116, 203]",0.9826516509056091,0.9815173745155334,
73,94974,"[0, 264, 329, 625]",0.9819954633712769,0.968726634979248,
74,23327,"[1029, 0, 134, 199]",0.981641948223114,0.9687367677688599,
75,21579,"[858, 316, 342, 311]",0.9709831476211548,0.9722108840942383,
76,27955,"[1254, 0, 198, 243]",0.9709010124206543,0.9593349099159241,
77,19653,"[295, 266, 185, 201]",0.9708356857299805,0.9685952663421631,
78,23439,"[743, 289, 190, 303]",0.9680973291397095,0.9503845572471619,
79,12843,"[487, 292, 141, 304]",0.9647649526596069,0.9571080207824707,
80,18370,"[311, 337, 161, 329]",0.9639393091201782,0.9660553336143494,
81,2277,"[998, 679, 54, 44]",0.9623765349388123,0.976384699344635,
82,48404,"[416, 292, 328, 356]",0.9596272706985474,0.9648412466049194,
83,181,"[1439, 127, 14, 14]",0.9540871381759644,0.9890710115432739,
84,18612,"[1081, 462, 187, 176]",0.9528269171714783,0.9726164937019348,
85,3954,"[512, 601, 65, 75]",0.9518841505050659,0.9553884863853455,
86,5612,"[1224, 830, 185, 69]",0.9414353370666504,0.9695484638214111,
87,141,"[842, 76, 11, 13]",0.9360049962997437,0.9929078221321106,
88,204,"[641, 528, 12, 17]",0.90789395570755,0.9758453965187073,
